mint,image_url,name,symbol
aeroBCMu6AX6bCLYd1VQtigqZh8NGSjn54H1YSczHeJ,https://storage.googleapis.com/nft-assets/items/AGEL-57k3FPK3Uq1Vrp02.png,Aerogel,AGEL
ammoK8AkX2wnebQb35cDAZtTkvsXQbi82cGeTnUvvfK,https://storage.googleapis.com/nft-assets/items/AMMO.png,Ammunition,AMMO
ARCoQ9dndpg6wE2rRexzfwgJR3NoWWhpcww3xQcQLukg,https://storage.googleapis.com/nft-assets/items/ARCO.png,Arco,ARCO
MASS9GqtJz6ABisAxcUn3FeR4phMqH1XfG6LPKJePog,https://storage.googleapis.com/nft-assets/items/BIOMASS.png,Biomass,BIOMASS
CARBWKWvxEuMcq3MqCxYfi7UoFVpL9c4rsQS99tw6i4X,https://storage.googleapis.com/nft-assets/items/CARBON.png,Carbon,CARBON
ic3AfsMFGKjkftEkpZLLdCGHmSQX5RwH92zhXUZVNCW,https://storage.googleapis.com/nft-assets/items/IC3A.png,Contract - Quantum Nodes,IC3A
ic3BNHDBzoW8suW4q9a9qt5PkK7D38T4raGDc1gyuRh,https://storage.googleapis.com/nft-assets/items/IC3B.png,Contract - Starpath Cells,IC3B
CPPRam7wKuBkYzN5zCffgNU17RKaeMEns4ZD83BqBVNR,https://storage.googleapis.com/nft-assets/items/COPPER.png,Copper,COPPER
CUore1tNkiubxSwDEtLc3Ybs1xfWLs8uGjyydUYZ25xc,https://storage.googleapis.com/nft-assets/items/CUORE.png,Copper Ore,CUORE
cwirGHLB2heKjCeTy4Mbp4M443fU4V7vy2JouvYbZna,https://storage.googleapis.com/nft-assets/items/CPRWIRE.png,Copper Wire,CPRWIRE
CRFRjhzDEhBSWGqpfdnqUHnbPLrimcuQ69kT9XE6tyRr,https://storage.googleapis.com/nft-assets/items/COPRFR.png,Council RFR 2023,CRFR
CRYSNnUd7cZvVfrEVtVNKmXiCPYdZ1S5pM5qG2FDVZHF,https://storage.googleapis.com/nft-assets/items/CRYSLAT.png,Crystal Lattice,CRYSLAT
DMNDKqygEN3WXKVrAD4ofkYBc4CKNRhFUbXP4VK7a944,https://storage.googleapis.com/nft-assets/items/DIAMOND.png,Diamond,DIAMOND
EMAGoQSP89CJV5focVjrpEuE4CeqJ4k1DouQW7gUu7yX,https://storage.googleapis.com/nft-assets/items/ELECMAG.png,Electromagnet,ELECMAG
ELECrjC8m9GxCqcm4XCNpFvkS8fHStAvymS6MJbe3XLZ,https://storage.googleapis.com/nft-assets/items/ELECTRO.png,Electronics,ELECTRO
SUBSVX9LYiPrzHeg2bZrqFSDSKkrQkiCesr6SjtdHaX,https://storage.googleapis.com/nft-assets/items/ENRGSUB.png,Energy Substrate,ENRGSUB
FiELD9fGaCgiNMfzQKKZD78wxwnBHTwjiiJfsieb6VGb,https://storage.googleapis.com/nft-assets/items/FSTAB-uG0HGWxwZeOsKidv.png,Field Stabilizer,FSTAB
